学号	语文	数学	英语	计算机	平均
1	90	92	88	91	 90.25
2	91	92	88	96	 91.75
3	85	87	90	88	 87.50
4	78	82	80	85	 81.25
5	88	90	86	92	 89.00
6	92	94	90	93	 92.25
7	75	78	76	80	 77.25
8	82	85	83	88	 84.50
9	95	96	94	97	 95.50
10	70	72	68	74	 71.00
11	86	88	84	90	 87.00
12	89	91	87	93	 90.00
13	80	82	78	84	 81.00
14	93	95	91	94	 93.25
15	77	79	75	81	 78.00
16	84	86	82	88	 85.00
17	91	93	89	95	 92.00
18	73	75	71	77	 74.00
19	87	89	85	91	 88.00
20	90	92	88	94	 91.00
21	76	78	74	80	 77.00
22	83	85	81	87	 84.00
23	94	96	92	98	 95.00
24	79	81	77	83	 80.00
25	85	87	83	89	 86.00
26	92	94	90	96	 93.00
27	74	76	72	78	 75.00
28	88	90	86	92	 89.00
29	81	83	79	85	 82.00
30	89	91	87	93	 90.00
